species,eiv_light,eiv_temperature,eiv_moisture,eiv_reaction,eiv_nutrients,eiv_salinity
Gagea lutea,4,5,6,7,7,0
Gagea minima,6,6,5,7,7,0
Gagea pratensis,6,6,4,7,6,0
Gagea pratensis agg.,6,6,4,7,6,0
Gagea pusilla,6,7,3,8,5,0
Gagea transversalis,6,7,4,7,6,0
Gagea villosa,7,7,4,7,6,0
Galanthus nivalis,5,6,6,7,7,0
Galatella linosyris,8,7,2,8,3,0
Galega officinalis,7,6,6,7,7,2
Galeobdolon argentatum,4,6,6,6,7,0
Galeobdolon luteum,3,5,6,6,7,0
Galeobdolon luteum agg.,3,5,6,6,7,0
Galeobdolon montanum,3,5,6,6,7,0
Galeopsis angustifolia,8,7,2,8,3,0
Galeopsis bifida,7,5,5,6,7,0
Galeopsis ladanum,8,5,4,5,4,0
Galeopsis ladanum agg.,8,6,3,6,3,0
Galeopsis pernhofferi,6,6,6,6,7,0
Galeopsis pubescens,6,5,5,6,7,0
Galeopsis speciosa,7,5,5,6,7,0
Galeopsis tetrahit,6,5,5,5,7,0
Galeopsis tetrahit agg.,6,5,5,5,7,0
Galinsoga parviflora,8,6,5,6,8,0
Galinsoga quadriradiata,8,6,5,6,8,0
Galium x pomeranicum,7,5,4,6,4,0
Galium album,7,6,4,6,6,1
Galium album ssp. album,7,6,4,6,6,1
Galium album ssp. pycnotrichum,7,6,4,7,4,0
Galium aparine,6,6,5,6,8,1
Galium aparine agg.,6,6,5,6,8,1
Galium austriacum,7,6,4,9,2,0
Galium boreale,6,6,6,7,4,0
Galium boreale ssp. boreale,6,6,6,7,4,0
Galium boreale ssp. exoletum,7,7,4,8,3,0
Galium elongatum,6,5,9,5,6,1
Galium glaucum,8,7,2,8,3,0
Galium glaucum var. glaucum,8,7,2,8,3,0
Galium glaucum var. hirsutum,8,7,2,8,3,0
Galium intermedium,4,6,5,6,6,0
Galium mollugo,7,6,6,6,6,1
Galium mollugo agg.,7,6,5,6,6,1
Galium odoratum,3,5,5,6,6,0
Galium palustre,6,5,9,6,6,1
Galium palustre agg.,6,5,9,5,6,1
Galium parisiense,8,7,3,5,3,0
Galium pumilum,7,5,4,4,3,0
Galium pumilum agg.,7,5,4,5,3,0
Galium rivale,6,6,8,6,6,0
Galium rotundifolium,2,5,5,5,6,0
Galium saxatile,6,4,5,2,3,0
Galium spurium,7,6,5,7,6,0
Galium spurium ssp. spurium,7,6,5,7,6,0
Galium spurium var. echinospermum,7,6,5,7,6,0
Galium spurium var. spurium,7,6,5,7,6,0
Galium sudeticum,8,4,6,5,3,0
Galium sylvaticum,5,5,5,6,5,0
Galium sylvaticum agg.,5,5,5,6,5,0
Galium tricornutum,7,7,3,8,5,0
Galium uliginosum,6,5,8,4,3,0
Galium valdepilosum,6,6,4,5,3,0
Galium valdepilosum ssp. valdepilosum,6,6,4,5,3,0
Galium verum,7,6,4,5,3,1
Galium verum agg.,7,6,4,6,3,1
Galium wirtgenii,7,7,7,7,4,2
Genista germanica,7,5,4,3,2,0
Genista pilosa,7,6,3,4,2,0
Genista sagittalis,7,5,4,4,3,0
Genista tinctoria,7,6,4,6,3,0
Gentiana acaulis,8,3,5,3,3,0
Gentiana asclepiadea,6,3,6,5,4,0
Gentiana cruciata,7,6,3,8,3,0
Gentiana cruciata ssp. cruciata,7,6,3,8,3,0
Gentiana lutea,7,3,5,5,3,0
Gentiana lutea ssp. lutea,7,3,5,5,3,0
Gentiana pannonica,7,3,5,2,3,0
Gentiana pneumonanthe,7,5,7,6,3,0
Gentiana punctata,8,3,5,3,3,0
Gentiana verna,8,3,4,7,3,0
Gentiana verna ssp. verna,8,3,4,7,3,0
Gentianella amarella,8,5,5,7,3,0
Gentianella amarella ssp. amarella,8,5,5,7,3,0
Gentianella campestris,8,5,5,5,3,0
Gentianella campestris ssp. baltica,8,5,5,5,3,0
Gentianella germanica,7,5,4,7,3,0
Gentianella lutescens,7,5,5,5,3,0
Gentianella lutescens ssp. carpatica,7,5,5,5,3,0
Gentianella lutescens ssp. lutescens,7,5,5,5,3,0
Gentianella obtusifolia,8,5,5,6,3,0
Gentianella obtusifolia ssp. sturmiana,8,5,5,6,3,0
Gentianella praecox,8,5,4,5,3,0
Gentianella praecox ssp. bohemica,8,5,4,5,3,0
Gentianopsis ciliata,7,6,3,8,3,0
Geranium columbinum,7,6,4,7,6,0
Geranium dissectum,7,6,4,7,6,0
Geranium divaricatum,6,7,4,7,6,0
Geranium lucidum,4,7,5,8,7,0
Geranium molle,8,7,4,7,6,0
Geranium molle ssp. molle,8,7,4,7,6,0
Geranium palustre,7,5,7,7,7,0
Geranium phaeum,5,5,6,6,7,0
Geranium pratense,7,6,5,7,7,1
Geranium purpureum,6,6,6,6,7,0
Geranium pusillum,7,6,4,6,7,0
Geranium pyrenaicum,7,6,5,7,7,0
Geranium robertianum,5,5,6,6,7,0
Geranium robertianum agg.,6,5,6,6,7,0
Geranium rotundifolium,7,8,4,7,6,0
Geranium sanguineum,7,6,3,8,3,0
Geranium sibiricum,7,6,5,6,6,0
Geranium sylvaticum,7,4,6,6,6,0
Geum montanum,8,2,5,2,2,0
Geum rivale,6,4,8,6,5,0
Geum urbanum,5,5,5,6,7,0
Gladiolus imbricatus,7,5,6,7,3,0
Gladiolus palustris,7,6,6,7,3,0
Glaucium corniculatum,9,8,4,9,4,1
Glaucium flavum,9,7,4,8,7,3
Glaux maritima,8,6,7,8,5,8
Glebionis segetum,8,7,5,5,5,0
Glechoma hederacea,5,6,6,6,7,1
Glechoma hederacea agg.,5,6,6,6,7,1
Glechoma hirsuta,5,7,5,7,6,0
Globularia bisnagarica,9,6,2,9,2,0
Glyceria declinata,5,5,8,5,6,0
Glyceria fluitans,6,5,10,5,6,1
Glyceria fluitans agg.,6,5,9,6,7,1
Glyceria maxima,7,5,10,7,8,1
Glyceria nemoralis,7,5,9,7,7,0
Glyceria notata,7,5,9,7,7,1
Glycyrrhiza glabra,7,7,4,8,6,1
Gnaphalium norvegicum,7,3,5,4,4,0
Gnaphalium supinum,8,2,7,3,4,0
Gnaphalium sylvaticum,7,4,5,4,5,0
Gnaphalium uliginosum,8,6,7,5,6,0
Goodyera repens,3,5,4,4,2,0
Gratiola officinalis,7,7,8,7,6,2
Groenlandia densa,8,6,12,8,5,1
Gymnadenia conopsea,7,5,6,7,3,0
Gymnadenia densiflora,7,5,6,8,3,0
Gymnadenia odoratissima,6,5,4,8,2,0
Gymnocarpium dryopteris,2,4,6,4,6,0
Gymnocarpium robertianum,7,5,5,8,4,0
Gypsophila fastigiata,8,7,2,7,2,0
Gypsophila fastigiata ssp. arenaria,8,7,2,7,2,0
Gypsophila fastigiata ssp. fastigiata,8,6,2,7,2,0
Gypsophila muralis,8,6,6,3,4,0
Gypsophila paniculata,9,7,3,6,4,0
Hackelia deflexa,7,5,4,7,6,0
Hacquetia epipactis,4,6,5,7,6,0
Hammarbya paludosa,9,5,9,2,2,0
Hedera helix,4,5,5,6,6,0
Hedysarum hedysaroides,8,2,6,7,3,0
Helianthemum canum,9,7,2,9,1,0
Helianthemum canum ssp. canum,9,7,2,9,1,0
Helianthemum grandiflorum,8,5,3,7,3,0
Helianthemum grandiflorum ssp. grandiflorum,9,3,4,7,3,0
Helianthemum grandiflorum ssp. obscurum,8,6,3,7,3,0
Helianthemum rupifragum,9,6,2,9,1,0
Helianthus tuberosus,8,7,6,7,8,0
Helictochloa planiculmis,7,2,5,4,4,0
Helictochloa pratensis,8,6,3,6,2,0
Helictochloa pratensis ssp. hirtifolia,8,6,3,6,2,0
Helictochloa pratensis ssp. pratensis,8,6,3,6,2,0
Helictotrichon desertorum,9,8,1,7,2,0
Helictotrichon desertorum ssp. basalticum,9,8,1,7,2,0
Helichrysum arenarium,8,6,2,5,2,0
Heliotropium europaeum,8,8,3,8,6,1
Helleborus foetidus,5,7,4,8,3,0
Helleborus niger,4,5,5,8,4,0
Helleborus viridis,4,6,5,7,6,0
Hemerocallis fulva,5,6,6,6,6,0
Hepatica nobilis,4,6,5,7,5,0
Heracleum mantegazzianum,8,6,6,6,8,0
Heracleum sphondylium,7,5,5,6,8,1
Heracleum sphondylium ssp. glabrum,7,5,5,6,8,1
Heracleum sphondylium ssp. chloranthum,7,5,5,6,8,1
Heracleum sphondylium ssp. sphondylium,7,5,5,6,8,1
Heracleum sphondylium ssp. trachycarpum,7,5,5,6,8,1
Herminium monorchis,7,5,5,8,2,0
Herniaria glabra,9,6,3,4,4,0
Herniaria hirsuta,9,7,3,5,4,0
Hesperis matronalis,6,6,6,7,7,0
Hesperis matronalis agg.,6,6,5,7,6,0
Hesperis matronalis ssp. candida,6,6,6,7,7,0
Hesperis matronalis ssp. matronalis,6,6,6,7,7,0
Hesperis matronalis ssp. schurii,6,6,6,7,7,0
Hesperis sylvestris,6,7,5,7,6,0
Hesperis sylvestris ssp. sylvestris,6,7,5,7,6,0
Hesperis tristis,8,8,3,8,3,0
Hibiscus trionum,8,7,4,7,7,1
Hieracium alpinum agg.,8,2,5,2,2,0
Hieracium bifidum,8,5,4,8,3,0
Hieracium caesium,7,5,4,7,3,0
Hieracium hypochoeroides,7,6,3,8,3,0
Hieracium inuloides,7,3,5,5,3,0
Hieracium laevigatum,5,5,5,4,3,0
Hieracium lachenalii,5,5,5,4,3,0
Hieracium maculatum,5,7,4,5,4,0
Hieracium murorum,5,5,5,5,4,0
Hieracium prenanthoides,7,3,5,5,5,0
Hieracium racemosum,5,6,4,5,4,0
Hieracium sabaudum,5,6,5,4,4,0
Hieracium schmidtii,8,6,4,4,1,0
Hieracium umbellatum,7,6,4,6,3,0
Hieracium villosum,9,2,5,9,3,0
Hierochloe australis,5,7,4,8,3,0
Hierochloe odorata,6,5,6,5,3,0
Hierochloe odorata agg.,6,5,6,5,3,0
Hierochloe repens,6,5,3,5,3,0
Himantoglossum adriaticum,7,7,4,8,3,0
Hippocrepis comosa,7,6,3,8,3,0
Hippuris vulgaris,8,5,10,8,6,1
Hirschfeldia incana,9,7,3,7,5,0
Holcus lanatus,7,5,6,6,5,1
Holcus mollis,6,5,5,3,4,0
Holosteum umbellatum,9,6,3,7,3,0
Holosteum umbellatum var. parceglandulosum,9,6,3,7,3,0
Holosteum umbellatum var. umbellatum,9,6,3,7,3,0
Homogyne alpina,5,3,6,3,2,0
Hordelymus europaeus,3,5,5,7,6,0
Hordeum jubatum,9,6,5,7,6,3
Hordeum murinum,8,7,4,7,6,1
Hordeum murinum ssp. leporinum,8,8,4,7,6,1
Hordeum murinum ssp. murinum,8,7,4,7,6,1
Hottonia palustris,6,6,11,6,6,0
Humulus lupulus,6,6,7,6,8,0
Huperzia selago,5,3,6,3,4,0
Huperzia selago ssp. selago,5,3,6,3,4,0
Hydrocotyle vulgaris,6,5,9,3,3,0
Hydrocharis morsus-ranae,7,6,11,7,6,0
Hylotelephium jullianum,7,5,4,5,4,0
Hylotelephium maximum,7,6,4,5,3,0
Hylotelephium telephium,7,6,4,5,4,0
Hylotelephium telephium agg.,7,6,4,5,4,0
Hyoscyamus albus,9,9,2,7,8,1
Hyoscyamus niger,8,6,4,7,8,1
Hypericum elegans,8,7,3,8,3,0
Hypericum hirsutum,7,6,5,6,6,0
Hypericum humifusum,7,6,7,3,3,0
Hypericum maculatum,7,4,6,4,4,0
Hypericum montanum,5,6,4,7,4,0
Hypericum perforatum,7,5,4,6,4,1
Hypericum pulchrum,4,6,5,3,2,0
Hypericum tetrapterum,7,5,8,7,5,2
Hypochaeris glabra,9,7,3,3,2,0
Hypochaeris maculata,8,6,4,7,3,0
Hypochaeris radicata,8,5,5,4,3,1
Hypochaeris radicata ssp. radicata,8,5,5,4,3,1
Hypochaeris uniflora,8,2,5,3,2,0
Chaerophyllum aromaticum,7,5,7,6,8,0
Chaerophyllum aureum,6,5,5,7,8,0
Chaerophyllum bulbosum,7,6,7,7,8,1
Chaerophyllum hirsutum,6,4,8,6,7,0
Chaerophyllum temulum,5,6,5,7,8,0
Chamaecytisus albus,8,8,3,9,3,0
Chamaecytisus austriacus,7,8,3,9,3,0
Chamaecytisus ratisbonensis,7,7,3,7,3,0
Chamaecytisus supinus,7,6,4,6,3,0
Chamaecytisus virescens,7,6,4,7,3,0
Chelidonium majus,6,6,5,7,8,0
Chenopodium album,7,5,5,6,7,1
Chenopodium album agg.,7,6,5,6,7,1
Chenopodium album ssp. album,7,5,5,6,7,1
Chenopodium album ssp. pedunculare,7,5,5,6,7,0
Chenopodium bonus-henricus,8,5,5,7,9,1
Chenopodium ficifolium,7,7,6,7,9,1
Chenopodium foliosum,8,5,4,7,8,2
Chenopodium glaucum,8,6,6,7,9,3
Chenopodium hybridum,7,6,5,7,8,2
Chenopodium chenopodioides,9,7,7,8,9,3
Chenopodium murale,8,7,4,8,9,2
Chenopodium opulifolium,8,6,5,7,7,1
Chenopodium polyspermum,7,6,6,6,8,0
Chenopodium rubrum,8,7,7,7,9,2
Chenopodium strictum,8,7,4,6,6,1
Chenopodium suecicum,7,6,5,6,7,0
Chenopodium urbicum,7,7,6,7,8,2
Chenopodium vulvaria,8,7,4,7,9,3
Chimaphila umbellata,5,5,4,4,3,0
Chondrilla juncea,8,7,2,6,3,0
Chrysosplenium alternifolium,3,5,8,7,7,0
Chrysosplenium oppositifolium,5,5,9,5,6,0
Ilex aquifolium,4,5,5,4,5,0
Illecebrum verticillatum,8,6,7,3,3,0
Impatiens glandulifera,6,6,8,7,7,0
Impatiens noli-tangere,4,5,7,7,7,0
Impatiens parviflora,4,5,5,7,7,0
Inula britannica,8,6,7,8,5,3
Inula conyzae,6,6,4,7,3,0
Inula ensifolia,8,7,3,8,3,0
Inula germanica,8,7,3,8,3,0
Inula helenium,7,5,5,7,6,0
Inula hirta,7,6,3,8,3,0
Inula oculus-christi,9,8,2,8,3,0
Inula salicina,7,6,5,8,4,2
Inula salicina ssp. salicina,7,6,5,8,4,2
Iris aphylla,8,7,3,8,2,0
Iris aphylla ssp. aphylla,8,7,3,8,2,0
Iris arenaria,9,8,2,7,2,0
Iris graminea,5,7,4,7,4,0
Iris pseudacorus,6,6,9,6,8,1
Iris pumila,9,8,2,9,2,0
Iris pumila ssp. pumila,9,8,2,9,2,0
Iris sibirica,8,6,8,6,3,0
Iris spuria,8,8,7,8,3,3
Iris spuria ssp. spuria,8,8,7,8,3,3
Iris variegata,6,7,3,8,4,0
Isatis tinctoria,9,7,3,8,3,0
Isatis tinctoria ssp. tinctoria,9,7,3,8,3,0
Isoetes echinospora,7,3,12,6,1,0
Isoetes lacustris,6,4,12,4,1,0
Isolepis setacea,7,5,8,4,3,0
Isopyrum thalictroides,4,6,6,7,7,0
Iva xanthiifolia,9,7,4,7,6,0
Jasione montana,8,5,2,3,2,0
Jovibarba globifera,9,6,2,7,2,0
Jovibarba globifera ssp. globifera,9,6,2,6,2,0
Jovibarba globifera ssp. hirta,9,6,2,9,2,0
Juglans nigra,5,6,6,6,7,0
Juglans regia,6,7,5,7,7,0
Juncus acutiflorus,8,5,8,4,3,0
Juncus alpinoarticulatus,8,5,9,6,3,0
Juncus articulatus,8,5,9,5,4,1
Juncus atratus,8,7,9,7,4,0
Juncus bufonius,8,5,8,5,5,1
Juncus bufonius agg.,8,5,8,6,5,1
Juncus bulbosus,6,6,10,4,3,0
Juncus capitatus,8,7,8,4,3,0
Juncus compressus,8,5,8,7,5,3
Juncus compressus agg.,8,5,8,7,5,3
Juncus conglomeratus,7,5,8,4,4,1
Juncus effusus,7,5,8,5,4,1
Juncus filiformis,7,4,8,3,3,0
Juncus gerardii,8,6,8,8,5,8
Juncus inflexus,7,5,8,8,5,2
Juncus minutulus,8,6,8,5,5,0
Juncus ranarius,8,6,8,7,5,6
Juncus sphaerocarpus,8,8,8,7,3,1
Juncus squarrosus,8,5,7,1,2,0
Juncus subnodulosus,7,6,8,9,3,2
Juncus tenageia,8,7,8,4,4,0
Juncus tenuis,6,6,6,5,5,0
Juncus trifidus,9,1,4,2,2,0
Juniperus communis,7,4,4,5,3,0
Juniperus communis ssp. communis,7,5,4,5,3,0
Juniperus communis ssp. nana,8,3,4,6,3,0
Juniperus sabina,7,4,3,6,3,0
Jurinea cyanoides,8,7,2,7,2,0
Jurinea mollis,8,7,2,9,3,0
Kickxia elatine,7,7,5,7,6,1
Kickxia elatine ssp. crinita,7,7,5,7,6,1
Kickxia elatine ssp. elatine,7,7,5,7,6,1
Kickxia spuria,7,7,4,7,6,1
Kickxia spuria ssp. spuria,7,7,4,7,6,1
Klasea lycopifolia,7,7,3,8,4,0
Knautia arvensis,7,6,4,6,4,0
Knautia arvensis agg.,7,6,4,6,4,0
Knautia arvensis ssp. arvensis,7,6,4,6,4,0
Knautia arvensis ssp. pannonica,7,6,4,7,4,0
Knautia arvensis ssp. pseudolongifolia,7,4,5,7,4,0
Knautia arvensis ssp. serpentinicola,7,5,4,7,4,0
Knautia drymeia,5,6,5,6,5,0
Knautia drymeia ssp. drymeia,5,6,5,6,5,0
Knautia kitaibelii,7,6,4,6,4,0
Knautia maxima,5,4,6,6,5,0
Koeleria glauca,8,7,2,7,2,0
Koeleria macrantha,8,6,3,8,2,0
Koeleria pyramidata,7,6,4,7,3,0
Krascheninnikovia ceratoides,9,8,2,9,3,0
Lactuca perennis,9,7,2,8,2,0
Lactuca quercina,6,7,4,7,6,0
Lactuca saligna,8,8,4,8,6,1
Lactuca serriola,8,7,4,6,6,1
Lactuca tatarica,9,6,5,7,5,3
Lactuca viminea,8,7,3,7,3,0
Lamium album,6,5,5,6,8,0
Lamium amplexicaule,7,6,4,7,7,0
Lamium maculatum,4,5,6,7,8,0
Lamium orvala,3,6,5,7,7,0
Lamium purpureum,7,5,5,7,7,0
Lappula semicincta,8,6,3,7,3,0
Lappula squarrosa,8,6,3,7,6,0
Lapsana communis,5,6,5,6,7,0
Lapsana communis ssp. communis,5,6,5,6,7,0
Larix decidua,7,4,4,5,4,0
Larix decidua ssp. decidua,7,4,4,5,4,0
Laser trilobum,6,6,4,8,4,0
Laserpitium archangelica,7,5,8,7,7,0
Laserpitium latifolium,6,5,5,8,4,0
Laserpitium prutenicum,6,6,7,7,3,0
Laserpitium prutenicum ssp. prutenicum,6,6,7,7,3,0
Lathraea squamaria,3,5,6,7,7,0
Lathraea squamaria ssp. squamaria,3,5,6,7,7,0
Lathyrus annuus,3,5,6,7,7,0
Lathyrus aphaca,7,7,3,8,5,0
Lathyrus heterophyllus,7,7,4,8,4,0
Lathyrus hirsutus,7,6,4,8,6,1
Lathyrus latifolius,7,7,4,8,5,0
Lathyrus linifolius,6,5,5,3,3,0
Lathyrus niger,5,6,4,7,4,0
Lathyrus nissolia,8,7,4,7,4,0
Lathyrus nissolia ssp. nissolia,8,7,4,7,4,0
Lathyrus nissolia ssp. pubescens,8,7,4,7,4,0
Lathyrus palustris,7,6,8,7,4,0
Lathyrus pannonicus,6,7,4,8,3,0
Lathyrus pannonicus ssp. collinus,6,7,4,8,3,0
Lathyrus pannonicus ssp. pannonicus,7,7,4,8,3,0
Lathyrus pisiformis,6,6,4,8,5,0
Lathyrus pratensis,7,5,6,6,6,1
Lathyrus sylvestris,7,6,4,7,4,0
Lathyrus sylvestris agg.,7,6,4,7,4,0
Lathyrus tuberosus,7,6,4,8,5,1
Lathyrus vernus,4,6,5,7,5,0
Lavatera thuringiaca,7,6,4,7,6,1
Lavatera thuringiaca ssp. thuringiaca,7,6,4,7,6,1
Lavatera trimestris,7,7,4,7,6,0
Leersia oryzoides,7,6,9,7,8,1
Lemna gibba,8,6,11,8,8,1
Lemna minor,7,5,11,6,6,1
Lemna minor agg.,7,5,11,6,6,1
Lemna minuta,7,6,11,6,6,1
Lemna trisulca,7,6,12,7,6,0
Lemna turionifera,7,6,11,7,7,1
Leontodon hispidus,7,5,5,6,6,0
Leontodon hispidus var. glabratus,7,5,5,6,6,0
Leontodon hispidus var. hispidus,7,5,5,6,6,0
Leontopodium alpinum,9,2,4,8,2,0
Leonurus cardiaca,7,6,5,7,8,1
Leonurus cardiaca ssp. cardiaca,7,6,5,7,8,1
Leonurus cardiaca ssp. villosus,7,6,5,7,8,1
Leonurus marrubiastrum,7,7,6,8,7,1
Lepidium campestre,7,6,4,8,5,0
Lepidium coronopus,8,7,6,7,8,2
Lepidium densiflorum,8,7,4,7,6,0
Lepidium didymus,9,7,5,7,6,0
Lepidium draba,8,7,4,7,6,0
Lepidium heterophyllum,8,7,5,6,6,1
Lepidium latifolium,9,6,5,7,5,3
Lepidium perfoliatum,8,6,5,8,6,3
Lepidium ruderale,9,6,4,7,6,1
Lepidium virginicum,8,7,4,6,5,0
Leucanthemum ircutianum,7,5,5,6,5,0
Leucanthemum margaritae,7,5,5,7,5,0
Leucanthemum vulgare,7,5,5,6,5,0
Leucanthemum vulgare agg.,7,5,5,6,5,0
Leucanthemum vulgare ssp. vulgare,7,5,5,6,5,0
Leucojum aestivum,6,8,8,7,7,0
Leucojum aestivum ssp. aestivum,6,8,8,7,7,0
Leucojum vernum,6,5,6,7,7,0
Leucojum vernum var. carpathicum,6,5,6,7,7,0
Leucojum vernum var. vernum,6,5,6,7,7,0
Leymus arenarius,8,6,4,7,4,2
Libanotis pyrenaica,7,6,3,8,3,0
Ligularia sibirica,7,5,9,7,4,0
Ligusticum mutellina,7,3,6,5,3,0
Ligustrum vulgare,6,6,4,7,5,0
Lilium bulbiferum,7,5,5,6,4,0
Lilium bulbiferum var. bulbiferum,7,5,5,6,4,0
Lilium bulbiferum var. croceum,7,5,5,6,4,0
Lilium martagon,4,5,5,7,6,0
Limodorum abortivum,5,7,4,8,3,0
Limosella aquatica,8,6,8,6,6,0
Linaria arvensis,6,7,5,7,5,0
Linaria genistifolia,8,7,2,5,2,0
Linaria vulgaris,8,6,4,7,5,1
Lindernia dubia,9,6,8,7,6,1
Lindernia procumbens,9,7,8,7,6,0
Linnaea borealis,4,3,6,2,2,0
Linum austriacum,9,7,3,8,2,0
Linum austriacum ssp. austriacum,9,7,3,8,2,0
Linum catharticum,7,5,5,7,3,1
Linum flavum,8,7,3,8,3,0
Linum hirsutum,9,8,3,8,3,0
Linum hirsutum ssp. hirsutum,9,8,3,8,3,0
Linum perenne,8,7,3,8,2,0
Linum perenne ssp. perenne,8,7,3,8,2,0
Linum tenuifolium,9,8,2,8,2,0
Linum usitatissimum,8,5,5,6,6,0
Liparis loeselii,8,5,9,7,3,0
Listera cordata,2,4,7,3,2,0
Listera ovata,5,5,6,7,6,0
Lithospermum officinale,6,6,4,8,5,0
Littorella uniflora,8,5,10,5,2,0
Lolium multiflorum,7,6,4,7,7,1
Lolium perenne,8,5,5,7,6,1
Lolium remotum,7,6,5,5,6,0
Lolium temulentum,7,7,4,7,6,0
Lonicera caprifolium,6,7,4,8,5,0
Lonicera nigra,3,4,6,5,4,0
Lonicera periclymenum,6,5,5,4,5,0
Lonicera xylosteum,4,6,5,7,6,0
Loranthus europaeus,9,6,3,NA,NA,NA
Lotus borbasii,8,7,3,8,3,0
Lotus corniculatus,7,5,4,7,4,1
Lotus corniculatus agg.,7,5,4,7,4,1
Lotus maritimus,8,7,6,8,4,3
Lotus pedunculatus,7,5,8,4,4,0
Lotus tenuis,7,6,7,8,6,6
Ludwigia palustris,8,6,9,4,7,1
Lunaria annua,5,7,5,7,7,0
Lunaria rediviva,4,5,6,7,8,0
Lupinus polyphyllus,7,5,5,5,6,0
Luronium natans,8,6,11,5,3,0
Luzula campestris,7,5,4,3,3,0
Luzula campestris agg.,7,5,4,3,3,0
Luzula divulgata,6,6,4,3,3,0
Luzula luzulina,3,4,5,5,5,0
Luzula luzuloides,5,5,5,3,4,0
Luzula luzuloides ssp. luzuloides,4,5,5,3,4,0
Luzula luzuloides ssp. rubella,6,3,5,3,3,0
Luzula multiflora,7,5,4,4,3,0
Luzula nivea,4,5,5,3,3,0
Luzula pallescens,7,5,5,4,3,0
Luzula pilosa,3,5,5,4,4,0
Luzula spicata,8,2,4,3,2,0
Luzula sudetica,8,3,5,3,2,0
Luzula sylvatica,4,4,5,3,4,0
Lycium barbarum,8,7,5,7,7,1
Lycopodiella inundata,8,4,9,3,2,0
Lycopodium annotinum,3,4,6,2,3,0
Lycopodium annotinum ssp. annotinum,3,4,6,2,3,0
Lycopodium clavatum,7,4,4,2,2,0
Lycopodium clavatum ssp. clavatum,7,4,4,2,2,0
Lycopsis arvensis,8,6,4,4,6,0
Lycopus europaeus,6,6,9,7,7,1
Lycopus europaeus ssp. europaeus,6,6,9,7,7,1
Lycopus europaeus ssp. menthifolius,6,6,9,7,7,1
Lycopus exaltatus,7,7,8,7,6,2
Lychnis coronaria,6,7,4,7,5,0
Lychnis flos-cuculi,7,5,7,5,4,0
Lychnis flos-cuculi ssp. flos-cuculi,7,5,7,5,4,0
Lysimachia nemorum,2,4,7,5,6,0
Lysimachia nummularia,5,6,7,6,6,0
Lysimachia punctata,6,6,6,7,6,0
Lysimachia thyrsiflora,6,5,9,4,4,0
Lysimachia vulgaris,6,5,8,5,6,1
Lythrum hyssopifolia,8,7,7,5,6,3
Lythrum salicaria,7,5,9,6,6,1
Lythrum virgatum,8,6,8,7,6,3
Mahonia aquifolium,6,6,4,6,5,0
Maianthemum bifolium,4,5,5,4,4,0
Malaxis monophyllos,4,4,8,6,5,0
Malus domestica,6,6,5,7,5,0
Malus sylvestris,6,6,5,7,5,0
Malus sylvestris agg.,6,6,5,7,5,0
Malva alcea,8,6,4,7,6,0
Malva moschata,8,6,4,7,6,0
Malva neglecta,8,6,5,7,9,2
Malva pusilla,8,7,4,7,8,2
Malva sylvestris,8,6,4,7,8,1
Malva sylvestris var. mauritiana,8,6,4,7,8,1
Malva sylvestris var. sylvestris,8,6,4,7,8,1
Malva verticillata,8,7,4,7,8,1
Malva verticillata var. crispa,8,7,4,7,8,1
Malva verticillata var. verticillata,8,7,4,7,8,1
Marrubium peregrinum,9,8,3,8,6,1
Marrubium vulgare,9,7,4,8,8,1
Matricaria discoidea,8,5,5,6,7,1
Matricaria chamomilla,7,6,5,5,6,1
Matteuccia struthiopteris,4,5,7,7,7,0
Medicago x varia,7,6,4,7,4,0
Medicago arabica,8,7,4,8,5,0
Medicago falcata,8,6,3,8,3,1
Medicago lupulina,7,5,4,7,4,1
Medicago minima,9,7,3,7,3,0
Medicago monspeliaca,9,8,2,8,2,0
Medicago prostrata,9,8,2,8,2,0
Medicago sativa,8,6,4,7,5,1
Medicago sativa agg.,8,6,4,7,4,1
Melampyrum arvense,7,7,3,8,4,0
Melampyrum cristatum,6,7,3,7,3,0
Melampyrum cristatum var. cristatum,6,7,3,7,3,0
Melampyrum cristatum var. solstitiale,6,7,3,7,3,0
Melampyrum herbichii,5,4,5,2,2,0
Melampyrum nemorosum,5,6,4,6,4,0
Melampyrum nemorosum agg.,5,6,4,6,4,0
Melampyrum nemorosum var. nemorosum,5,6,4,6,4,0
Melampyrum nemorosum var. praecox,5,6,4,6,4,0
Melampyrum pratense,5,5,5,3,2,0
Melampyrum subalpinum,5,5,5,5,3,0
Melampyrum sylvaticum,5,4,5,2,2,0
Melampyrum sylvaticum agg.,5,4,5,2,2,0
Melica altissima,5,7,4,7,4,0
Melica ciliata,9,8,1,8,2,0
Melica ciliata agg.,8,7,2,7,3,0
Melica ciliata ssp. ciliata,9,8,1,8,2,0
Melica nutans,4,6,5,6,4,0
Melica nutans agg.,4,6,5,6,4,0
Melica picta,5,7,4,7,4,0
Melica transsilvanica,7,7,3,7,4,0
Melica transsilvanica ssp. transsilvanica,7,7,3,7,4,0
Melica uniflora,3,5,5,6,6,0
Melilotus albus,9,6,4,7,4,1
Melilotus altissimus,8,6,7,7,6,2
Melilotus dentatus,8,6,7,8,6,5
Melilotus indicus,9,8,4,7,6,2
Melilotus officinalis,8,6,4,7,5,1
Melissa officinalis,6,6,4,7,5,0
